,Fibro,SMC,aCM,vCM,WBC,NCC,Endocardial,Epi,VE,Lymphatic,RBC,SAN-like CM,AVC-CM,VIC,6,5,0,3,7,8,12,2,14,1,11,4,10,13,9
Fibro,0.0,0.9663997797715556,0.3466561431476163,0.2972477825344104,0.9128693079228226,0.9429388820553605,0.9326696399542236,0.8702615077860757,0.8875758919962012,0.9207532866229476,0.9495782625800241,0.5552369579345691,0.021329437110160297,0.9950643434137617,0.9269236575286618,0.9483159521214222,0.3164381929986771,0.9448730502256352,0.9376853314397687,0.9107360893577164,0.8544413796976167,0.8539946104470204,0.8475905009625543,0.7752914794318266,0.8671457304528224,0.3450703741684415,0.8564723253153683,0.3299896377000532,0.8189389613250522
SMC,0.9663997797715556,0.0,0.3251077146656208,0.24180563499993935,0.8847428350874238,0.9122614841044284,0.9190544852577007,0.8351876935812821,0.872948779342093,0.8926819886160592,0.9228253855348022,0.49649964683866576,-0.04817136458720977,0.9588235640259155,0.891121907816755,0.9105382344183857,0.2801395732310475,0.9086038924869098,0.9048056960617832,0.872707134059749,0.8289543316651055,0.8340382899569525,0.8254747870738092,0.7409228876486064,0.8763988761975217,0.34350962145213226,0.8247396059001882,0.28626778148205695,0.8341043710057364
aCM,0.3466561431476163,0.3251077146656208,0.0,0.8249071458942236,0.38145467148354634,0.33164085632741985,0.3537995446696176,0.301419873807765,0.3025147800076243,0.3652566682370118,0.4857943570639729,0.8779443872709645,0.7368150460281053,0.3551145057991378,0.3548534352128827,0.41079061686049595,0.7263243055988066,0.42043192868186385,0.4023202359198587,0.36910695580795705,0.4201240423706084,0.39675008121589067,0.30996286330367184,0.5255819707869204,0.4320243980086174,0.6975014051035046,0.4313688371844292,0.7143823604321221,0.2652201369494032
vCM,0.2972477825344104,0.24180563499993935,0.8249071458942236,0.0,0.32226241561055047,0.2765274695428827,0.307324920961676,0.2954151729365459,0.2497129934348751,0.31096899716397913,0.4172593023691369,0.8313396692893495,0.8250145966393929,0.3130739838655674,0.3664127292235092,0.3792803652630298,0.7426666246584092,0.3834169771181173,0.40344538217314374,0.39387140207264615,0.37181558912763313,0.36624815670687405,0.3352101376879993,0.4320117259609974,0.3675465282214637,0.6576489464590888,0.38328538054071337,0.7247828479072006,0.29980545940446385
WBC,0.9128693079228226,0.8847428350874238,0.38145467148354634,0.32226241561055047,0.0,0.9034891105362326,0.9016923992221882,0.826302330423679,0.9012819971362841,0.8935271299962728,0.936894080116823,0.5712414961667467,0.03073101709831407,0.9158710345166668,0.9117404680707258,0.9374367964581852,0.43194102760647535,0.9320869523221335,0.9272862507125702,0.9010274573965334,0.8808820373208728,0.8700688212649199,0.8759134736941481,0.8240097837493868,0.8525926730059373,0.4358537522901934,0.8675672160065834,0.400907227537163,0.8209131240035964
NCC,0.9429388820553605,0.9122614841044284,0.33164085632741985,0.2765274695428827,0.9034891105362326,0.0,0.9693813739859649,0.9296869451327893,0.9265052357735155,0.9860108969027919,0.8916275111386253,0.5591685592322015,-0.017449762483542675,0.9508554657293582,0.9022869102355285,0.9149811245704732,0.30017425672525283,0.893868761379921,0.914768880749079,0.8961109394489114,0.8580200324089642,0.8778022304836028,0.8566697467351116,0.791451664822034,0.8577758976498286,0.3294350391158038,0.8797504255015759,0.2898433080823273,0.8067475206749511
Endocardial,0.9326696399542236,0.9190544852577007,0.3537995446696176,0.307324920961676,0.9016923992221882,0.9693813739859649,0.0,0.9028313645037891,0.9680087229384854,0.9733326748355966,0.8756663442592569,0.5598274556937743,-0.005354453642573284,0.9391658168330218,0.9090004241957056,0.9279425641162047,0.3645548776294572,0.8986472307433379,0.9273678424586693,0.9110928921195681,0.8727078159593413,0.8786266221080395,0.8688318264078362,0.8128863550650862,0.8757888926428053,0.39108818827904773,0.8904831343045838,0.3293212168596158,0.8252850616429758
Epi,0.8702615077860757,0.8351876935812821,0.301419873807765,0.2954151729365459,0.826302330423679,0.9296869451327893,0.9028313645037891,0.0,0.8636822720990456,0.9165875657560817,0.8139348955840469,0.5890463369808768,-0.0036782569880869733,0.8623958245959539,0.8622227718981024,0.834963672043075,0.26826270660555557,0.8124475815081699,0.8742729292629968,0.8392515959223676,0.8166624542179085,0.8070866596398276,0.8022787856759155,0.7408568455498257,0.8044085260587845,0.25415306270343313,0.8621239031624742,0.2689529634186388,0.7604157613482658
VE,0.8875758919962012,0.872948779342093,0.3025147800076243,0.2497129934348751,0.9012819971362841,0.9265052357735155,0.9680087229384854,0.8636822720990456,0.0,0.9347832489255229,0.821419346587344,0.509525445455,-0.043580429596889986,0.8940488771046778,0.9167007303491461,0.9275956090915104,0.3965530989573172,0.8960343854828754,0.9241317408372623,0.9177186326312475,0.8715295154227578,0.8691898202364065,0.8853884679196489,0.8157598916627364,0.8501838932889493,0.4184440598824714,0.8923062448251642,0.35643948804340875,0.8231229586995908
Lymphatic,0.9207532866229476,0.8926819886160592,0.3652566682370118,0.31096899716397913,0.8935271299962728,0.9860108969027919,0.9733326748355966,0.9165875657560817,0.9347832489255229,0.0,0.8765907885118907,0.5842862169295983,-0.005342891640487361,0.9299123330364173,0.8946188271876041,0.9040413627613538,0.3349504182907478,0.8757961242842965,0.9059280961094625,0.8831439694563593,0.849513348524335,0.8724141444539751,0.8512709448460475,0.7970237546363723,0.8456809696206039,0.3522912455488219,0.8768891113242613,0.31473059491461053,0.7898736808860485
RBC,0.9495782625800241,0.9228253855348022,0.4857943570639729,0.4172593023691369,0.936894080116823,0.8916275111386253,0.8756663442592569,0.8139348955840469,0.821419346587344,0.8765907885118907,0.0,0.6663075103920942,0.12723608001179054,0.9539108525864906,0.8970499265392172,0.9263451379556707,0.4364981720772265,0.9281487117358111,0.9189005517779087,0.8747177537130042,0.8544323214448648,0.8510987344169499,0.8156150366172507,0.8070065728214899,0.8517149537403602,0.4380905410937524,0.8294276664906532,0.4433355371984908,0.7688224933232711
SAN-like CM,0.5552369579345691,0.49649964683866576,0.8779443872709645,0.8313396692893495,0.5712414961667467,0.5591685592322015,0.5598274556937743,0.5890463369808768,0.509525445455,0.5842862169295983,0.6663075103920942,0.0,0.6473406669584854,0.567119280883912,0.6067565787349679,0.608781461231631,0.7232001257183248,0.6000466449020371,0.6327909601357935,0.5928025231702059,0.6226288740148841,0.5958748642557282,0.5247880300741461,0.6857701231742849,0.61196689551323,0.6605616581267809,0.62683001957571,0.7168139551140662,0.46639969671305403
AVC-CM,0.021329437110160297,-0.04817136458720977,0.7368150460281053,0.8250145966393929,0.03073101709831407,-0.017449762483542675,-0.005354453642573284,-0.0036782569880869733,-0.043580429596889986,-0.005342891640487361,0.12723608001179054,0.6473406669584854,0.0,0.025592977697228625,0.041074344989270706,0.08394683420151117,0.6367919567877346,0.10198991632185031,0.06117852359086321,0.08050852147007548,0.08463725335904461,0.01075475606085769,0.017110425464331766,0.18402492535145656,0.09448287759346219,0.6039608104420339,0.10022209273861472,0.6500679711820418,-0.010821843029420302
VIC,0.9950643434137617,0.9588235640259155,0.3551145057991378,0.3130739838655674,0.9158710345166668,0.9508554657293582,0.9391658168330218,0.8623958245959539,0.8940488771046778,0.9299123330364173,0.9539108525864906,0.567119280883912,0.025592977697228625,0.0,0.9341076302816318,0.9555245665130425,0.336177484750771,0.9500750298250706,0.9447727910147873,0.9201010234922704,0.8626671860711189,0.8728351506238617,0.8553054940463961,0.7887708154469019,0.8683919004829541,0.3636173445857786,0.8618832314574152,0.34542976009923626,0.8215848449336524
6,0.9269236575286618,0.891121907816755,0.3548534352128827,0.3664127292235092,0.9117404680707258,0.9022869102355285,0.9090004241957056,0.8622227718981024,0.9167007303491461,0.8946188271876041,0.8970499265392172,0.6067565787349679,0.041074344989270706,0.9341076302816318,0.0,0.9769556450324448,0.4671520929490113,0.9559018092202937,0.9841308664076857,0.9640227808073374,0.9075539285482458,0.9036350393476318,0.9129833976834179,0.8326329372007226,0.8847194362161551,0.4593731995517113,0.9012924024490053,0.47798874967341015,0.8636680314559105
5,0.9483159521214222,0.9105382344183857,0.41079061686049595,0.3792803652630298,0.9374367964581852,0.9149811245704732,0.9279425641162047,0.834963672043075,0.9275956090915104,0.9040413627613538,0.9263451379556707,0.608781461231631,0.08394683420151117,0.9555245665130425,0.9769556450324448,0.0,0.4877013733449438,0.9834617774777686,0.9827834152178472,0.9695798747392954,0.9146818577035848,0.9126279975128792,0.917059579592645,0.8535055668302133,0.904320048107638,0.508658773881796,0.9101366923313264,0.4863592016213375,0.8621082022402736
0,0.3164381929986771,0.2801395732310475,0.7263243055988066,0.7426666246584092,0.43194102760647535,0.30017425672525283,0.3645548776294572,0.26826270660555557,0.3965530989573172,0.3349504182907478,0.4364981720772265,0.7232001257183248,0.6367919567877346,0.336177484750771,0.4671520929490113,0.4877013733449438,0.0,0.4745698554891537,0.47348671371794415,0.482945258148113,0.5097986142939479,0.4686991793433916,0.4618279177863371,0.6182758604840645,0.4906456114761422,0.9378293025208755,0.5162256601657366,0.958265897162854,0.42711288516558577
3,0.9448730502256352,0.9086038924869098,0.42043192868186385,0.3834169771181173,0.9320869523221335,0.893868761379921,0.8986472307433379,0.8124475815081699,0.8960343854828754,0.8757961242842965,0.9281487117358111,0.6000466449020371,0.10198991632185031,0.9500750298250706,0.9559018092202937,0.9834617774777686,0.4745698554891537,0.0,0.970144408554235,0.965666204234733,0.9138766728381077,0.9061726039213415,0.9166242672772182,0.8500072661991482,0.8932007459363743,0.5171900347153543,0.9057932858776605,0.47362542520650763,0.8684297235608758
7,0.9376853314397687,0.9048056960617832,0.4023202359198587,0.40344538217314374,0.9272862507125702,0.914768880749079,0.9273678424586693,0.8742729292629968,0.9241317408372623,0.9059280961094625,0.9189005517779087,0.6327909601357935,0.06117852359086321,0.9447727910147873,0.9841308664076857,0.9827834152178472,0.47348671371794415,0.970144408554235,0.0,0.971991540529601,0.9276903087711882,0.9250099491764359,0.924811333953137,0.8563119392121656,0.9091799896851832,0.46506283350428257,0.9144053601601463,0.4668470700741989,0.8712853396220788
8,0.9107360893577164,0.872707134059749,0.36910695580795705,0.39387140207264615,0.9010274573965334,0.8961109394489114,0.9110928921195681,0.8392515959223676,0.9177186326312475,0.8831439694563593,0.8747177537130042,0.5928025231702059,0.08050852147007548,0.9201010234922704,0.9640227808073374,0.9695798747392954,0.482945258148113,0.965666204234733,0.971991540529601,0.0,0.9343567555871035,0.9310905050664712,0.9570952464954102,0.8535109364015415,0.8930722186437019,0.49617378301961895,0.9225940304086857,0.4729264988129619,0.885503567023113
